model-1601979841,1601979841.635,0.56,0.2494,0.5,0.2496 
model-1601979841,1601979841.693,0.46,0.2525,0.47,0.2501 
model-1601979841,1601979841.752,0.52,0.25,0.41,0.2544 
model-1601979841,1601979841.812,0.6,0.2463,0.48,0.2572 
model-1601979841,1601979841.866,0.57,0.2442,0.5,0.2711 
model-1601979841,1601979841.919,0.46,0.2814,0.6,0.2422 
model-1601979841,1601979841.972,0.39,0.2738,0.39,0.257 
model-1601979841,1601979842.022,0.5,0.2508,0.46,0.2506 
model-1601979841,1601979842.073,0.62,0.2481,0.56,0.2494 
model-1601979841,1601979842.123,0.44,0.2504,0.52,0.25 
model-1601979841,1601979842.179,0.51,0.25,0.62,0.249 
model-1601979841,1601979842.226,0.59,0.2491,0.48,0.2504 
model-1601979841,1601979842.274,0.49,0.2501,0.56,0.2492 
model-1601979841,1601979842.319,0.44,0.2508,0.54,0.2497 
model-1601979841,1601979842.363,0.47,0.2502,0.54,0.2493 
model-1601979841,1601979842.408,0.59,0.2488,0.58,0.2486 
model-1601979841,1601979842.451,0.57,0.2486,0.49,0.2497 
model-1601979841,1601979842.496,0.48,0.2503,0.5,0.2503 
model-1601979841,1601979842.542,0.49,0.2499,0.48,0.2509 
model-1601979841,1601979842.585,0.54,0.2489,0.53,0.2489 
model-1601979841,1601979842.628,0.51,0.2495,0.46,0.2508 
model-1601979841,1601979842.674,0.49,0.2507,0.62,0.247 
model-1601979841,1601979842.717,0.51,0.2499,0.5,0.2498 
model-1601979841,1601979842.76,0.55,0.2489,0.55,0.2493 
model-1601979841,1601979842.809,0.52,0.249,0.58,0.2475 
model-1601979841,1601979842.855,0.5,0.2504,0.58,0.248 
model-1601979841,1601979842.899,0.54,0.2487,0.57,0.2474 
model-1601979841,1601979842.945,0.5,0.2499,0.48,0.2494 
model-1601979841,1601979842.987,0.52,0.2501,0.47,0.2511 
model-1601979841,1601979843.03,0.47,0.2518,0.57,0.2474 
model-1601979841,1601979843.077,0.59,0.2445,0.45,0.2531 
model-1601979841,1601979843.121,0.55,0.2471,0.53,0.2483 
model-1601979841,1601979843.169,0.48,0.2529,0.5,0.2527 
model-1601979841,1601979843.215,0.55,0.2425,0.58,0.2427 
model-1601979841,1601979843.261,0.49,0.2546,0.44,0.2528 
model-1601979841,1601979843.305,0.53,0.2459,0.48,0.2515 
model-1601979841,1601979843.351,0.57,0.2498,0.52,0.2463 
model-1601979841,1601979843.394,0.54,0.2495,0.6,0.2507 
model-1601979841,1601979843.437,0.62,0.2401,0.56,0.2522 
model-1601979841,1601979843.482,0.49,0.2488,0.58,0.2442 
model-1601979841,1601979843.525,0.53,0.2498,0.59,0.2462 
model-1601979841,1601979843.568,0.56,0.2487,0.49,0.2508 
model-1601979841,1601979843.613,0.55,0.2461,0.54,0.2452 
model-1601979841,1601979843.656,0.57,0.2477,0.52,0.2514 
model-1601979841,1601979843.699,0.49,0.2465,0.48,0.2533 
model-1601979841,1601979843.746,0.58,0.2468,0.48,0.2533 
model-1601979841,1601979843.789,0.58,0.2439,0.55,0.2455 
model-1601979841,1601979843.835,0.47,0.2494,0.51,0.2542 
model-1601979841,1601979843.881,0.54,0.2462,0.58,0.2434 
model-1601979841,1601979843.925,0.49,0.2496,0.49,0.2424 
model-1601979841,1601979843.969,0.57,0.2454,0.51,0.2474 
model-1601979841,1601979844.014,0.63,0.234,0.58,0.2411 
model-1601979841,1601979844.059,0.48,0.2564,0.54,0.2389 
model-1601979841,1601979844.102,0.59,0.2431,0.61,0.2341 
model-1601979841,1601979844.148,0.49,0.2445,0.58,0.253 
model-1601979841,1601979844.192,0.56,0.2482,0.6,0.2465 
model-1601979841,1601979844.235,0.52,0.2492,0.52,0.2477 
model-1601979841,1601979844.281,0.5,0.2497,0.49,0.2516 
model-1601979841,1601979844.326,0.51,0.2495,0.46,0.2557 
model-1601979841,1601979844.369,0.53,0.247,0.43,0.2584 
model-1601979841,1601979844.415,0.54,0.2466,0.56,0.2486 
model-1601979841,1601979844.458,0.47,0.2528,0.51,0.2505 
model-1601979841,1601979844.502,0.54,0.2481,0.44,0.2551 
model-1601979841,1601979844.549,0.47,0.2535,0.51,0.2482 
model-1601979841,1601979844.593,0.43,0.2513,0.54,0.2465 
model-1601979841,1601979844.635,0.52,0.2464,0.53,0.2478 
model-1601979841,1601979844.683,0.54,0.2464,0.54,0.2462 
model-1601979841,1601979844.728,0.52,0.2433,0.52,0.2453 
model-1601979841,1601979844.772,0.61,0.2434,0.53,0.2502 
model-1601979841,1601979844.818,0.6,0.2388,0.57,0.2458 
model-1601979841,1601979844.864,0.53,0.2599,0.52,0.2546 
model-1601979841,1601979844.907,0.56,0.2457,0.53,0.2456 
model-1601979841,1601979844.952,0.48,0.2496,0.53,0.2419 
model-1601979841,1601979844.995,0.55,0.2493,0.44,0.2505 
model-1601979841,1601979845.041,0.57,0.2521,0.6,0.244 
model-1601979841,1601979845.09,0.49,0.2354,0.59,0.2385 
model-1601979841,1601979845.133,0.63,0.2375,0.58,0.2495 
model-1601979841,1601979845.177,0.56,0.2501,0.45,0.2474 
model-1601979841,1601979845.229,0.53,0.2461,0.47,0.2493 
model-1601979841,1601979845.273,0.59,0.2469,0.56,0.2471 
model-1601979841,1601979845.317,0.49,0.2474,0.51,0.2495 
model-1601979841,1601979845.363,0.56,0.2484,0.59,0.2421 
model-1601979841,1601979845.406,0.51,0.2479,0.51,0.2495 
model-1601979841,1601979845.45,0.55,0.2457,0.55,0.2502 
model-1601979841,1601979845.496,0.58,0.2407,0.53,0.2463 
model-1601979841,1601979845.539,0.55,0.2454,0.52,0.2469 
model-1601979841,1601979845.582,0.51,0.2523,0.54,0.2461 
model-1601979841,1601979845.628,0.56,0.2454,0.49,0.2527 
model-1601979841,1601979845.674,0.52,0.2464,0.52,0.247 
model-1601979841,1601979845.72,0.58,0.2411,0.51,0.2463 
model-1601979841,1601979845.773,0.56,0.2545,0.6,0.2455 
model-1601979841,1601979845.827,0.59,0.242,0.59,0.2435 
model-1601979841,1601979845.874,0.54,0.2404,0.5,0.2486 
model-1601979841,1601979845.925,0.54,0.2455,0.58,0.2425 
model-1601979841,1601979845.968,0.51,0.2456,0.53,0.247 
model-1601979841,1601979846.012,0.58,0.2401,0.59,0.243 
model-1601979841,1601979846.058,0.5,0.2753,0.62,0.2317 
model-1601979841,1601979846.102,0.56,0.2548,0.56,0.2435 
model-1601979841,1601979846.146,0.56,0.2414,0.54,0.2418 
model-1601979841,1601979846.193,0.58,0.2487,0.52,0.2475 
model-1601979841,1601979846.242,0.51,0.2506,0.5,0.25 
model-1601979841,1601979846.285,0.45,0.2492,0.46,0.2554 
